posting_id,job_title,company,sector,city,salary_min_gbp,salary_max_gbp,experience_required,degree_required,skills_required,working_arrangement,visa_sponsorship,date_posted,applicant_count,level
31,Management Consultant (Graduate),HMRC,Public Sector,London,26000,30000,1-2 years,Any degree subject,Agile;Azure;Business Intelligence;ChatGPT/AI Tools;Communication;DAX;Data Analysis;JIRA;KPI Reporting,Hybrid,Yes,2024-05,300,Graduate
32,Business Intelligence Analyst,NatWest,Finance,London,32000,36000,1-2 years,Finance,Agile;Azure;Business Intelligence;Communication;Financial Modelling;KPI Reporting;Microsoft Excel;Microsoft Office,Hybrid,No,2025-11,259,Entry Level
33,Insight Analyst,TechAnalytics Ltd,Technology,Cardiff,42000,46000,1 year,Finance,Communication;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-08,348,Entry Level
34,Business Intelligence Analyst,StartupXYZ,Technology,London,41000,46000,1 year,Engineering,AWS;Azure;Business Intelligence;ChatGPT/AI Tools;Communication,Flexible,No,2026-06,536,Entry Level
35,Operations Analyst,Capgemini,Consulting,London,Not specified,Not specified,1-2 years,Economics,Agile;Business Intelligence;Communication;DAX;Data Analysis;Microsoft Excel;Microsoft Office,Hybrid,No,2024-08,776,Entry Level
36,Strategy Analyst,M&G Investments,Finance,London,Not specified,Not specified,0-1 years,2:1 or above any subject,Agile;Azure;ChatGPT/AI Tools;Communication;DAX;Data Analysis;KPI Reporting;Microsoft Excel;Microsoft Office,Hybrid,No,2025-11,638,Entry Level
37,Operations Analyst,HMRC,Public Sector,London,29000,35000,None,Engineering,Agile;Azure;Business Intelligence;Communication,Hybrid,No,2024-06,129,Entry Level
38,Operations Analyst,Accenture,Consulting,London,37000,43000,0-1 years,2:1 or above any subject,AWS;Communication;Data Analysis;Financial Modelling;Forecasting,Hybrid,No,2025-05,687,Entry Level
39,Reporting Analyst,Sky,Technology,London,36000,42000,1-2 years,STEM degree preferred,Business Intelligence;Communication;Data Analysis;Forecasting,Hybrid,No,2025-09,465,Entry Level
40,Junior Data Analyst,BT Group,Technology,London,37000,44000,1-2 years,Statistics,Communication;Confluence;Data Analysis;Financial Modelling;Forecasting,Flexible,No,2024-10,838,Graduate
41,Financial Analyst,JPMorgan UK,Finance,London,38000,45000,2 years,Business & Management,Azure;Business Intelligence;ChatGPT/AI Tools;DAX;Data Analysis;Financial Modelling,Hybrid,No,2026-03,371,Entry Level
42,Reporting Analyst,Centrica,Energy,London,28000,35000,1-2 years,Statistics,AWS;Agile;ChatGPT/AI Tools;Communication;DAX;Data Analysis;Financial Modelling,Office,No,2026-03,709,Entry Level
43,Financial Analyst,Infosys,Consulting,London,34000,38000,1-2 years,Business & Management,Agile;Communication;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Microsoft Office;Pivot Tables;PowerPoint,Hybrid,No,2025-10,154,Entry Level
44,Business Intelligence Analyst,KPMG,Consulting,London,28000,35000,0-1 years,Mathematics,Agile;Business Intelligence;Communication;Data Analysis;Financial Modelling;Forecasting,Flexible,No,2024-11,509,Entry Level
45,Business Analyst,Morgan Stanley UK,Finance,London,29000,32000,0-1 years,Engineering,AWS;Agile;Communication;DAX;Data Analysis;Forecasting;JIRA;Microsoft Excel,Hybrid,No,2024-09,564,Entry Level
46,Financial Analyst,Tesco,Retail,London,24000,30000,1 year,Statistics,Agile;Azure;Business Intelligence;ChatGPT/AI Tools;Communication,Hybrid,No,2025-05,448,Entry Level
47,Reporting Analyst,Legal & General,Finance,London,39000,45000,2 years,Business & Management,Business Intelligence;Communication;Confluence;Data Analysis,Office,No,2026-02,149,Entry Level
48,Graduate Data Analyst,StartupXYZ,Technology,London,Not specified,Not specified,None,Engineering,Agile;ChatGPT/AI Tools;Communication;Data Analysis,Hybrid,No,2025-12,255,Graduate
49,Reporting Analyst,EY,Consulting,London,37000,42000,None,Engineering,Agile;Communication;DAX;Data Analysis;Financial Modelling;KPI Reporting,Hybrid,Yes,2025-10,689,Entry Level
50,Junior Operations Analyst,Astrazeneca,Pharma,London,29000,35000,1-2 years,STEM degree preferred,Agile;Azure;Business Intelligence;Communication,Remote,No,2025-03,781,Graduate
51,Junior Data Analyst,BAE Systems,Pharma,London,29000,34000,0-1 years,Engineering,Business Intelligence;Communication;DAX;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-09,264,Graduate
52,Business Analyst,Metro Bank,Finance,London,35000,39000,2 years,Engineering,Agile;Business Intelligence;Communication;Data Analysis;Financial Modelling;JIRA,Hybrid,No,2024-12,611,Entry Level
53,Financial Analyst,Fidelity,Finance,London,34000,40000,0-1 years,Engineering,Agile;Business Intelligence;Confluence;Data Analysis;Financial Modelling,Hybrid,No,2026-04,686,Entry Level
54,Management Consultant (Graduate),BP,Energy,London,29000,33000,1-2 years,Computer Science,AWS;Business Intelligence;Communication;Data Analysis;Financial Modelling;JIRA;KPI Reporting;Microsoft Excel,Office,No,2024-06,541,Graduate
55,Junior Business Analyst,Morgan Stanley UK,Finance,London,Not specified,Not specified,1 year,Finance,Agile;Communication;Confluence;Data Analysis,Remote,Yes,2026-01,874,Graduate
56,Commercial Analyst,Tesco,Retail,Bristol,27000,32000,1 year,Economics,AWS;Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis;Financial Modelling,Hybrid,No,2025-06,272,Entry Level
57,Junior Operations Analyst,Aviva,Finance,London,39000,42000,None,Computer Science,AWS;Agile;Azure;Communication;Data Analysis;Financial Modelling,Hybrid,No,2025-04,519,Graduate
58,Graduate Business Analyst,Standard Chartered,Finance,London,28000,32000,1-2 years,Engineering,Agile;Business Intelligence;Confluence;Copilot,Hybrid,No,2026-02,363,Graduate
59,Graduate Business Analyst,Standard Chartered,Finance,London,37000,44000,1 year,STEM degree preferred,Agile;Azure;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;Data Analysis,Office,No,2025-11,629,Graduate
60,Graduate Data Analyst,Schroders,Finance,London,32000,35000,1 year,Engineering,Business Intelligence;ChatGPT/AI Tools;Communication;Confluence,Hybrid,Yes,2025-10,722,Graduate
61,Reporting Analyst,McKinsey,Consulting,London,32000,35000,2 years,Statistics,Agile;Business Intelligence;Communication;Copilot;Data Analysis;KPI Reporting;Microsoft Excel,Hybrid,No,2024-04,378,Entry Level
62,Operations Analyst,BlackRock UK,Finance,Manchester,31000,37000,0-1 years,Engineering,Agile;Business Intelligence;Communication;Confluence;Data Analysis;Forecasting;KPI Reporting;Power Query,Hybrid,No,2025-03,161,Entry Level
63,Graduate Financial Analyst,HMRC,Public Sector,London,29000,35000,1 year,STEM degree preferred,AWS;Azure;Business Intelligence;Communication;Data Analysis;KPI Reporting;Microsoft Excel,Hybrid,No,2026-02,204,Graduate
64,Junior Business Analyst,Deloitte,Consulting,London,Not specified,Not specified,None,Statistics,Agile;Azure;Communication;Financial Modelling;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2025-09,335,Graduate
65,Business Analyst,Lloyds Banking Group,Finance,Liverpool,39000,44000,None,Finance,Azure;Communication;Confluence;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Pivot Tables,Flexible,No,2025-04,292,Entry Level
66,Operations Analyst,Schroders,Finance,London,Not specified,Not specified,0-1 years,2:1 or above any subject,AWS;Agile;Communication;DAX;Data Analysis;JIRA,Office,No,2025-05,210,Entry Level
67,Business Analyst,Google,Technology,London,Not specified,Not specified,1-2 years,Mathematics,Agile;ChatGPT/AI Tools;Communication;Confluence;DAX;Microsoft Office;Power Query;PowerPoint;Problem Solving,Hybrid,Yes,2026-03,100,Entry Level
68,Graduate Financial Analyst,BT Group,Technology,London,Not specified,Not specified,1-2 years,Economics,Agile;Communication;Confluence;Copilot;DAX,Hybrid,No,2026-04,580,Graduate
69,Graduate Financial Analyst,Santander UK,Finance,London,Not specified,Not specified,0-1 years,Computer Science,Business Intelligence;Communication;Copilot;Data Analysis;JIRA;Microsoft Excel;Microsoft Office,Flexible,No,2024-07,160,Graduate
70,Business Intelligence Analyst,Metro Bank,Finance,London,38000,42000,1 year,Engineering,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;DAX;Data Analysis;KPI Reporting;Machine Learning;Pivot Tables,Remote,No,2024-12,566,Entry Level
71,Strategy Analyst,NHS,Public Sector,London,29000,34000,0-1 years,Any degree subject,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis,Hybrid,No,2024-01,327,Entry Level
72,Reporting Analyst,Rolls-Royce,Energy,London,28000,34000,1 year,2:1 or above any subject,Communication;DAX;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Pivot Tables;Power Query;PowerPoint,Hybrid,No,2025-11,463,Entry Level
73,Operations Analyst,Fidelity,Finance,London,Not specified,Not specified,2 years,Computer Science,Agile;Business Intelligence;Communication;Forecasting;Microsoft Excel;Microsoft Office;PowerPoint;Problem Solving;Python,Hybrid,No,2025-12,652,Entry Level
74,Junior Data Analyst,ConsultCo,Consulting,London,32000,35000,0-1 years,Computer Science,Communication;Copilot;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Office;Pivot Tables,Office,No,2026-01,212,Graduate
75,Business Intelligence Analyst,Morgan Stanley UK,Finance,London,34000,40000,2 years,Mathematics,Azure;Communication;Confluence;DAX;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2024-06,808,Entry Level
76,Junior Business Analyst,Standard Chartered,Finance,London,38000,43000,1 year,Mathematics,Communication;Copilot;Data Analysis;JIRA;KPI Reporting;Machine Learning;Microsoft Excel;Microsoft Office,Office,No,2024-01,767,Graduate
77,Data Analyst,EY,Consulting,London,Not specified,Not specified,1-2 years,Computer Science,Azure;Confluence;Data Analysis;Forecasting;JIRA;Microsoft Excel;Pivot Tables,Hybrid,No,2024-03,186,Entry Level
78,Reporting Analyst,GSK,Pharma,Edinburgh,32000,36000,1 year,Any degree subject,AWS;Agile;Communication;Confluence;Copilot,Remote,No,2024-08,204,Entry Level
79,Junior Operations Analyst,Tesco,Retail,Glasgow,23000,30000,0-1 years,Finance,Agile;Business Intelligence;Communication;Copilot;Data Analysis;JIRA;KPI Reporting;Machine Learning;Microsoft Excel,Hybrid,No,2026-05,307,Graduate
80,Data Analyst,Rolls-Royce,Energy,London,Not specified,Not specified,1-2 years,Finance,Agile;Communication;DAX;KPI Reporting;Microsoft Excel;Microsoft Office;Power BI;Problem Solving,Hybrid,No,2026-06,860,Entry Level
81,Graduate Financial Analyst,Tesco,Retail,London,25000,30000,1 year,Business & Management,Agile;Communication;Confluence;Data Analysis,Office,No,2026-02,373,Graduate
82,Graduate Financial Analyst,Metro Bank,Finance,London,Not specified,Not specified,0-1 years,Computer Science,Business Intelligence;Communication;Data Analysis;KPI Reporting;Microsoft Excel,Flexible,Yes,2026-06,606,Graduate
83,Management Consultant (Graduate),HSBC,Finance,London,32000,39000,None,Finance,Agile;Data Analysis;Financial Modelling;JIRA;KPI Reporting;Power BI;Power Query;PowerPoint;Problem Solving,Hybrid,No,2025-10,329,Graduate
84,Junior Operations Analyst,KPMG,Consulting,London,28000,34000,1-2 years,STEM degree preferred,Azure;Communication;Copilot;Data Analysis;Financial Modelling,Hybrid,No,2026-04,477,Graduate
85,Management Consultant (Graduate),Shell,Energy,London,26000,32000,1-2 years,Engineering,Communication;Copilot;Data Analysis;JIRA,Hybrid,No,2025-12,839,Graduate
86,Strategy Analyst,DataCo Ltd,Technology,London,Not specified,Not specified,1-2 years,Engineering,Agile;ChatGPT/AI Tools;Communication;Confluence;Data Analysis;Forecasting;Microsoft Excel;Microsoft Office;Power BI,Hybrid,No,2025-06,571,Entry Level
87,Insight Analyst,Centrica,Energy,London,30000,36000,1-2 years,STEM degree preferred,Agile;Communication;Confluence;Data Analysis;Forecasting;Microsoft Excel;Pivot Tables;Power Query,Hybrid,No,2025-10,755,Entry Level
88,Reporting Analyst,NatWest,Finance,London,28000,32000,0-1 years,Economics,Agile;Communication;DAX;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-03,450,Entry Level
89,Data Analyst,Goldman Sachs UK,Finance,London,34000,39000,0-1 years,Finance,Communication;Confluence;DAX;Data Analysis;Forecasting;Microsoft Excel,Flexible,No,2024-07,474,Entry Level
90,Data Analyst,Lloyds,Finance,London,36000,43000,2 years,Engineering,Communication;Confluence;Copilot;Data Analysis;Microsoft Excel;Microsoft Office;Pivot Tables;Power BI,Hybrid,Yes,2025-01,671,Entry Level
91,Data Analyst,M&G Investments,Finance,London,34000,38000,1 year,Business & Management,Azure;Business Intelligence;Communication;Data Analysis;Financial Modelling,Office,No,2025-10,525,Entry Level
92,Graduate Business Analyst,EY,Consulting,London,32000,35000,1-2 years,2:1 or above any subject,Agile;Business Intelligence;Communication;KPI Reporting;Microsoft Office;Pivot Tables;Power BI;Power Query;PowerPoint,Hybrid,No,2024-10,279,Graduate
93,Management Consultant (Graduate),Centrica,Energy,London,30000,34000,None,Computer Science,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;KPI Reporting;Microsoft Excel,Hybrid,No,2026-03,267,Graduate
94,Commercial Analyst,AnalyticsFirm,Technology,London,33000,37000,1 year,Economics,Agile;Business Intelligence;Communication;Data Analysis;Forecasting,Office,No,2025-01,770,Entry Level
95,Management Consultant (Graduate),Capgemini,Consulting,London,32000,37000,2 years,Business & Management,Agile;Azure;Communication;Confluence;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-05,567,Graduate
96,Data Analyst,Lloyds Banking Group,Finance,London,33000,38000,1 year,Any degree subject,Agile;Confluence;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Office;Pivot Tables;Power BI;Power Query,Office,No,2025-09,541,Entry Level
97,Junior Data Analyst,GSK,Pharma,London,25000,29000,1 year,2:1 or above any subject,Agile;ChatGPT/AI Tools;Communication;Confluence;Data Analysis;Microsoft Office;Power Query;PowerPoint;Problem Solving,Office,No,2025-10,525,Graduate
98,Operations Analyst,M&G Investments,Finance,London,35000,42000,0-1 years,STEM degree preferred,Communication;DAX;Data Analysis;Financial Modelling;Forecasting;Microsoft Excel,Office,No,2026-02,219,Entry Level
99,Data Analyst,HMRC,Public Sector,London,27000,33000,0-1 years,Business & Management,Business Intelligence;ChatGPT/AI Tools;Communication;DAX;Data Analysis;Forecasting;JIRA,Hybrid,No,2024-11,293,Entry Level
100,Management Consultant (Graduate),Experian,Finance,London,Not specified,Not specified,0-1 years,Mathematics,Azure;Business Intelligence;Communication;Confluence,Hybrid,No,2025-06,529,Graduate
101,Commercial Analyst,DataCo Ltd,Technology,London,39000,44000,1-2 years,Finance,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis,Hybrid,No,2024-11,148,Entry Level
102,Graduate Data Analyst,KPMG,Consulting,London,Not specified,Not specified,1 year,Mathematics,Business Intelligence;ChatGPT/AI Tools;Communication;DAX;Data Analysis,Office,No,2025-09,505,Graduate
103,Data Analyst,AnalyticsFirm,Technology,Birmingham,38000,44000,2 years,Business & Management,Agile;Communication;Data Analysis;Financial Modelling;Forecasting,Office,No,2026-05,301,Entry Level
104,Graduate Data Analyst,Fidelity,Finance,London,Not specified,Not specified,0-1 years,Business & Management,AWS;Business Intelligence;Communication;DAX,Hybrid,No,2025-12,306,Graduate
105,Junior Business Analyst,NatWest,Finance,London,34000,40000,2 years,2:1 or above any subject,Agile;Communication;DAX;Data Analysis;Forecasting,Remote,No,2025-08,125,Graduate
106,Commercial Analyst,Infosys,Consulting,London,Not specified,Not specified,1 year,Economics,AWS;Agile;Business Intelligence;Communication;Confluence;DAX;Data Analysis;Financial Modelling;Microsoft Office,Hybrid,No,2025-04,469,Entry Level
107,Data Analyst,Legal & General,Finance,London,35000,42000,1-2 years,Engineering,Business Intelligence;Communication;Data Analysis;Financial Modelling;JIRA,Flexible,No,2025-09,214,Entry Level
108,Graduate Data Analyst,Capgemini,Consulting,London,37000,41000,0-1 years,Business & Management,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence,Hybrid,No,2025-09,699,Graduate
109,Strategy Analyst,Experian,Finance,London,34000,40000,1 year,Engineering,Communication;KPI Reporting;Microsoft Excel;Microsoft Office;Pivot Tables,Flexible,Yes,2025-11,130,Entry Level
110,Operations Analyst,Microsoft,Technology,London,36000,41000,1 year,Engineering,Agile;Communication;Confluence;Data Analysis;Forecasting,Hybrid,No,2025-11,233,Entry Level
111,Graduate Data Analyst,Amazon,Technology,London,28000,34000,None,Engineering,Business Intelligence;Communication;Financial Modelling;Forecasting,Flexible,No,2024-11,788,Graduate
112,Junior Data Analyst,Starling Bank,Finance,Glasgow,39000,46000,1 year,Computer Science,Business Intelligence;Communication;Data Analysis;Forecasting;JIRA;Machine Learning;Microsoft Excel,Remote,No,2024-04,40,Graduate
113,Business Analyst,HSBC,Finance,London,29000,33000,0-1 years,Finance,AWS;Agile;Communication;Confluence;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Office,Yes,2025-06,442,Entry Level
114,Graduate Data Analyst,McKinsey,Consulting,London,27000,32000,1-2 years,Computer Science,AWS;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;DAX;Data Analysis;KPI Reporting,Hybrid,Yes,2025-09,198,Graduate
115,Operations Analyst,Deloitte,Consulting,London,37000,44000,None,Business & Management,Agile;Azure;ChatGPT/AI Tools;Communication,Hybrid,No,2025-10,724,Entry Level
116,Insight Analyst,Starling Bank,Finance,London,32000,37000,1 year,Economics,Business Intelligence;Communication;Copilot;Data Analysis,Hybrid,No,2026-05,552,Entry Level
117,Business Intelligence Analyst,Astrazeneca,Pharma,London,Not specified,Not specified,1-2 years,Any degree subject,AWS;Agile;Communication;Financial Modelling;KPI Reporting,Hybrid,No,2025-04,290,Entry Level
118,Junior Operations Analyst,Metro Bank,Finance,London,38000,43000,0-1 years,Economics,AWS;Agile;Azure;Business Intelligence;Communication,Office,No,2026-06,527,Graduate
119,Graduate Business Analyst,Lloyds,Finance,London,34000,40000,2 years,Economics,AWS;Agile;Azure;Business Intelligence;Communication;DAX;Data Analysis;Financial Modelling;Microsoft Office,Office,No,2025-10,134,Graduate
120,Business Analyst,Sky,Technology,London,42000,49000,0-1 years,STEM degree preferred,AWS;Agile;Azure;Business Intelligence;Communication;Confluence;DAX,Remote,No,2024-03,689,Entry Level
121,Reporting Analyst,NatWest,Finance,Birmingham,34000,40000,1-2 years,Statistics,AWS;Communication;Data Analysis;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2026-06,163,Entry Level
122,Commercial Analyst,DataCo Ltd,Technology,London,32000,37000,1-2 years,Finance,AWS;Communication;Data Analysis;Forecasting;Microsoft Office;Power BI;Problem Solving;Process Mapping;Python,Hybrid,No,2024-01,471,Entry Level
123,Junior Operations Analyst,BAE Systems,Pharma,Sheffield,Not specified,Not specified,None,Any degree subject,Agile;Azure;Business Intelligence;Communication;Confluence,Hybrid,No,2026-03,389,Graduate
124,Management Consultant (Graduate),DWP,Public Sector,London,28000,31000,1-2 years,STEM degree preferred,AWS;Agile;Azure;Business Intelligence;Communication,Hybrid,No,2026-02,838,Graduate
125,Financial Analyst,JPMorgan UK,Finance,London,28000,32000,0-1 years,Finance,AWS;ChatGPT/AI Tools;Communication;Confluence;Data Analysis;KPI Reporting;Microsoft Office,Office,No,2026-01,216,Entry Level
126,Management Consultant (Graduate),Barclays,Finance,Leeds,Not specified,Not specified,0-1 years,Computer Science,Agile;Communication;Confluence;Copilot,Office,No,2025-03,121,Graduate
127,Junior Business Analyst,Santander UK,Finance,London,Not specified,Not specified,1-2 years,Statistics,AWS;Agile;Business Intelligence;ChatGPT/AI Tools;Communication,Hybrid,No,2025-01,367,Graduate
128,Data Analyst,Lloyds,Finance,London,Not specified,Not specified,1-2 years,Any degree subject,Agile;ChatGPT/AI Tools;Communication;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Office;Power BI;Power Query,Hybrid,Yes,2026-06,829,Entry Level
129,Commercial Analyst,GSK,Pharma,London,29000,33000,1 year,Any degree subject,Agile;Azure;Communication;Confluence,Office,No,2024-09,801,Entry Level
130,Commercial Analyst,McKinsey,Consulting,London,32000,36000,0-1 years,Computer Science,Agile;ChatGPT/AI Tools;Communication;Confluence;Copilot,Hybrid,No,2025-11,103,Entry Level
131,Business Intelligence Analyst,HMRC,Public Sector,Glasgow,27000,31000,1-2 years,Computer Science,Communication;Copilot;Data Analysis;Forecasting;KPI Reporting;Microsoft Excel;Microsoft Office;Pivot Tables;Power BI,Hybrid,No,2026-05,104,Entry Level
132,Graduate Financial Analyst,Shell,Energy,London,29000,36000,1-2 years,Any degree subject,Communication;Confluence;Copilot;Data Analysis;Financial Modelling;Pivot Tables;Power BI;Prompt Engineering,Hybrid,No,2025-04,677,Graduate
133,Financial Analyst,M&G Investments,Finance,Leeds,Not specified,Not specified,2 years,STEM degree preferred,Business Intelligence;Communication;Copilot;Data Analysis;JIRA;Microsoft Excel;Microsoft Office,Flexible,Yes,2026-04,85,Entry Level
134,Business Intelligence Analyst,Deloitte,Consulting,London,Not specified,Not specified,1 year,Economics,Agile;Business Intelligence;Communication;Confluence;Data Analysis;Microsoft Excel;Microsoft Office;Pivot Tables;PowerPoint,Hybrid,No,2024-05,246,Entry Level
135,Junior Business Analyst,JPMorgan UK,Finance,London,35000,39000,1-2 years,STEM degree preferred,Agile;Business Intelligence;Communication;Confluence;DAX;Data Analysis;Microsoft Excel;Microsoft Office,Remote,No,2025-02,507,Graduate
