year,month,period,cpi_pct,boe_target_pct,above_target,note,period_dt,base_rate_pct,real_rate,rate_inflation_gap,inflation_target_miss,rolling_3m_avg_cpi
2020,10,2020-10,0.7,2.0,No,,2020-10-01,0.1,-0.6,-0.6,-1.3,0.47
2020,11,2020-11,0.3,2.0,No,,2020-11-01,0.1,-0.19999999999999998,-0.2,-1.7,0.5
2020,12,2020-12,0.6,2.0,No,,2020-12-01,0.1,-0.5,-0.5,-1.4,0.53
2021,1,2021-01,0.7,2.0,No,Vaccine rollout,2021-01-01,0.1,-0.6,-0.6,-1.3,0.53
2021,2,2021-02,0.4,2.0,No,,2021-02-01,0.1,-0.30000000000000004,-0.3,-1.6,0.57
2021,3,2021-03,0.7,2.0,No,,2021-03-01,0.1,-0.6,-0.6,-1.3,0.6
2021,4,2021-04,1.5,2.0,No,Base effects kick in,2021-04-01,0.1,-1.4,-1.4,-0.5,0.87
2021,5,2021-05,2.1,2.0,Yes,,2021-05-01,0.1,-2.0,-2.0,0.1,1.43
2021,6,2021-06,2.5,2.0,Yes,,2021-06-01,0.1,-2.4,-2.4,0.5,2.03
2021,7,2021-07,2.0,2.0,No,,2021-07-01,0.1,-1.9,-1.9,0.0,2.2
2021,8,2021-08,3.2,2.0,Yes,Energy prices rising,2021-08-01,0.1,-3.1,-3.1,1.2,2.57
2021,9,2021-09,3.1,2.0,Yes,,2021-09-01,0.1,-3.0,-3.0,1.1,2.77
2021,10,2021-10,4.2,2.0,Yes,Supply chain crisis,2021-10-01,0.1,-4.1000000000000005,-4.1,2.2,3.5
2021,11,2021-11,5.1,2.0,Yes,,2021-11-01,0.1,-5.0,-5.0,3.1,4.13
2021,12,2021-12,5.4,2.0,Yes,,2021-12-01,0.1,-5.300000000000001,-5.3,3.4,4.9
2022,1,2022-01,5.5,2.0,Yes,Rate hike imminent,2022-01-01,0.1,-5.4,-5.4,3.5,5.33
2022,2,2022-02,6.2,2.0,Yes,,2022-02-01,0.25,-5.95,-5.95,4.2,5.7
2022,3,2022-03,7.0,2.0,Yes,Ukraine war - energy shock,2022-03-01,0.5,-6.5,-6.5,5.0,6.23
2022,4,2022-04,9.0,2.0,Yes,,2022-04-01,0.5,-8.5,-8.5,7.0,7.4
2022,5,2022-05,9.1,2.0,Yes,,2022-05-01,1.0,-8.1,-8.1,7.1,8.37
2022,6,2022-06,9.4,2.0,Yes,,2022-06-01,1.25,-8.15,-8.15,7.4,9.17
2022,7,2022-07,10.1,2.0,Yes,,2022-07-01,1.25,-8.85,-8.85,8.1,9.53
2022,8,2022-08,9.9,2.0,Yes,,2022-08-01,1.75,-8.15,-8.15,7.9,9.8
2022,9,2022-09,10.1,2.0,Yes,,2022-09-01,2.25,-7.85,-7.85,8.1,10.03
2022,10,2022-10,11.1,2.0,Yes,PEAK INFLATION,2022-10-01,2.25,-8.85,-8.85,9.1,10.37
2022,11,2022-11,10.7,2.0,Yes,,2022-11-01,3.0,-7.699999999999999,-7.7,8.7,10.63
2022,12,2022-12,10.5,2.0,Yes,,2022-12-01,3.5,-7.0,-7.0,8.5,10.77
2023,1,2023-01,10.1,2.0,Yes,Slow decline begins,2023-01-01,3.5,-6.6,-6.6,8.1,10.43
2023,2,2023-02,10.4,2.0,Yes,,2023-02-01,4.0,-6.4,-6.4,8.4,10.33
2023,3,2023-03,10.1,2.0,Yes,,2023-03-01,4.25,-5.85,-5.85,8.1,10.2
2023,4,2023-04,8.7,2.0,Yes,,2023-04-01,4.25,-4.449999999999999,-4.45,6.7,9.73
2023,5,2023-05,8.7,2.0,Yes,,2023-05-01,4.5,-4.199999999999999,-4.2,6.7,9.17
2023,6,2023-06,7.9,2.0,Yes,,2023-06-01,5.0,-2.9000000000000004,-2.9,5.9,8.43
2023,7,2023-07,6.8,2.0,Yes,,2023-07-01,5.0,-1.7999999999999998,-1.8,4.8,7.8
2023,8,2023-08,6.7,2.0,Yes,,2023-08-01,5.25,-1.4500000000000002,-1.45,4.7,7.13
2023,9,2023-09,6.7,2.0,Yes,,2023-09-01,5.25,-1.4500000000000002,-1.45,4.7,6.73
2023,10,2023-10,4.6,2.0,Yes,,2023-10-01,5.25,0.6500000000000004,0.65,2.6,6.0
2023,11,2023-11,3.9,2.0,Yes,,2023-11-01,5.25,1.35,1.35,1.9,5.07
2023,12,2023-12,4.0,2.0,Yes,,2023-12-01,5.25,1.25,1.25,2.0,4.17
2024,1,2024-01,4.0,2.0,Yes,Rate cuts approaching,2024-01-01,5.25,1.25,1.25,2.0,3.97
2024,2,2024-02,3.4,2.0,Yes,,2024-02-01,5.25,1.85,1.85,1.4,3.8
2024,3,2024-03,3.2,2.0,Yes,,2024-03-01,5.25,2.05,2.05,1.2,3.53
2024,4,2024-04,2.3,2.0,Yes,,2024-04-01,5.25,2.95,2.95,0.3,2.97
2024,5,2024-05,2.0,2.0,No,BoE target reached,2024-05-01,5.25,3.25,3.25,0.0,2.5
2024,6,2024-06,2.0,2.0,No,,2024-06-01,5.25,3.25,3.25,0.0,2.1
2024,7,2024-07,2.2,2.0,Yes,,2024-07-01,5.25,3.05,3.05,0.2,2.07
2024,8,2024-08,2.2,2.0,Yes,,2024-08-01,5.0,2.8,2.8,0.2,2.13
2024,9,2024-09,1.7,2.0,No,,2024-09-01,5.0,3.3,3.3,-0.3,2.03
2024,10,2024-10,2.3,2.0,Yes,,2024-10-01,5.0,2.7,2.7,0.3,2.07
2024,11,2024-11,2.6,2.0,Yes,,2024-11-01,4.75,2.15,2.15,0.6,2.2
2024,12,2024-12,2.5,2.0,Yes,,2024-12-01,4.75,2.25,2.25,0.5,2.47
2025,1,2025-01,3.0,2.0,Yes,Energy price reset,2025-01-01,4.75,1.75,1.75,1.0,2.7
2025,2,2025-02,2.8,2.0,Yes,,2025-02-01,4.5,1.7000000000000002,1.7,0.8,2.77
2025,3,2025-03,2.6,2.0,Yes,,2025-03-01,4.5,1.9,1.9,0.6,2.8
2025,4,2025-04,3.5,2.0,Yes,Utility bills reset Apr,2025-04-01,4.5,1.0,1.0,1.5,2.97
2025,5,2025-05,3.5,2.0,Yes,,2025-05-01,4.25,0.75,0.75,1.5,3.2
2025,6,2025-06,3.4,2.0,Yes,,2025-06-01,4.25,0.8500000000000001,0.85,1.4,3.47
2025,7,2025-07,3.0,2.0,Yes,,2025-07-01,4.25,1.25,1.25,1.0,3.3
2025,8,2025-08,2.8,2.0,Yes,,2025-08-01,4.0,1.2000000000000002,1.2,0.8,3.07
2025,9,2025-09,2.7,2.0,Yes,,2025-09-01,4.0,1.2999999999999998,1.3,0.7,2.83
2025,10,2025-10,2.6,2.0,Yes,,2025-10-01,4.0,1.4,1.4,0.6,2.7
2025,11,2025-11,2.5,2.0,Yes,,2025-11-01,3.75,1.25,1.25,0.5,2.6
2025,12,2025-12,2.4,2.0,Yes,,2025-12-01,3.75,1.35,1.35,0.4,2.5
2026,1,2026-01,2.4,2.0,Yes,Approaching target,2026-01-01,3.75,1.35,1.35,0.4,2.43
2026,2,2026-02,2.3,2.0,Yes,,2026-02-01,3.5,1.2000000000000002,1.2,0.3,2.37
2026,3,2026-03,2.3,2.0,Yes,,2026-03-01,3.5,1.2000000000000002,1.2,0.3,2.33
2026,4,2026-04,2.4,2.0,Yes,,2026-04-01,3.5,1.1,1.1,0.4,2.33
2026,5,2026-05,2.3,2.0,Yes,,2026-05-01,3.25,0.9500000000000002,0.95,0.3,2.33
2026,6,2026-06,2.3,2.0,Yes,Current,2026-06-01,3.25,0.9500000000000002,0.95,0.3,2.33
