posting_id,job_title,company,sector,city,salary_min_gbp,salary_max_gbp,experience_required,degree_required,skills_required,working_arrangement,visa_sponsorship,date_posted,applicant_count,level,salary_midpoint,has_salary,requires_experience,is_london,skills_list,skill_count,salary_zscore
18,Business Analyst,HSBC,Finance,Glasgow,37000.0,41000.0,1 year,Finance,AWS;Agile;Azure;Business Intelligence;Data Analysis;Financial Modelling;Forecasting,Hybrid,No,2025-06-01,136,Entry Level,39000.0,True,1,0,"['AWS', 'Agile', 'Azure', 'Business Intelligence', 'Data Analysis', 'Financial Modelling', 'Forecasting']",7,0.97
21,Management Consultant (Graduate),Santander UK,Finance,London,37000.0,40000.0,1-2 years,Finance,AWS;Communication;Confluence;Data Analysis;Machine Learning;Microsoft Office,Office,No,2024-04-01,772,Graduate,38500.0,True,1,1,"['AWS', 'Communication', 'Confluence', 'Data Analysis', 'Machine Learning', 'Microsoft Office']",6,0.86
22,Management Consultant (Graduate),DataCo Ltd,Technology,Glasgow,38000.0,41000.0,2+ years,Economics,Agile;Business Intelligence;Communication;DAX;Data Analysis,Remote,No,2026-03-01,56,Graduate,39500.0,True,1,0,"['Agile', 'Business Intelligence', 'Communication', 'DAX', 'Data Analysis']",5,1.08
23,Strategy Analyst,Starling Bank,Finance,London,35000.0,39000.0,<1 year,Finance,Agile;Azure;Business Intelligence;ChatGPT/AI Tools,Office,No,2025-03-01,351,Entry Level,37000.0,True,0,1,"['Agile', 'Azure', 'Business Intelligence', 'ChatGPT/AI Tools']",4,0.52
24,Graduate Data Analyst,Accenture,Consulting,Manchester,35000.0,38000.0,2+ years,STEM degree preferred,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;DAX;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2025-04-01,251,Graduate,36500.0,True,1,0,"['Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Confluence', 'DAX', 'KPI Reporting', 'Microsoft Excel', 'Microsoft Office']",9,0.4
25,Insight Analyst,Sky,Technology,London,30000.0,35000.0,2+ years,2:1 or above any subject,Business Intelligence;Communication;Data Analysis;Financial Modelling;Forecasting;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2024-11-01,790,Entry Level,32500.0,True,1,1,"['Business Intelligence', 'Communication', 'Data Analysis', 'Financial Modelling', 'Forecasting', 'KPI Reporting', 'Microsoft Excel', 'Microsoft Office']",8,-0.5
26,Business Analyst,NHS,Public Sector,London,28000.0,33000.0,1 year,2:1 or above any subject,AWS;Agile;Business Intelligence;Confluence;Data Analysis,Hybrid,No,2026-02-01,862,Entry Level,30500.0,True,1,1,"['AWS', 'Agile', 'Business Intelligence', 'Confluence', 'Data Analysis']",5,-0.95
27,Operations Analyst,Sainsburys,Retail,London,23000.0,29000.0,1-2 years,STEM degree preferred,AWS;Agile;Azure;Communication;Copilot;Data Analysis;KPI Reporting;Microsoft Excel,Hybrid,No,2025-12-01,740,Entry Level,26000.0,True,1,1,"['AWS', 'Agile', 'Azure', 'Communication', 'Copilot', 'Data Analysis', 'KPI Reporting', 'Microsoft Excel']",8,-1.97
29,Graduate Data Analyst,Legal & General,Finance,London,35000.0,38000.0,<1 year,Engineering,Agile;Business Intelligence;Data Analysis;JIRA,Office,No,2024-12-01,836,Graduate,36500.0,True,0,1,"['Agile', 'Business Intelligence', 'Data Analysis', 'JIRA']",4,0.4
30,Graduate Business Analyst,Metro Bank,Finance,London,34000.0,41000.0,2+ years,Mathematics,Azure;Business Intelligence;Communication;DAX;Data Analysis;Forecasting;Microsoft Excel,Hybrid,No,2026-04-01,867,Graduate,37500.0,True,1,1,"['Azure', 'Business Intelligence', 'Communication', 'DAX', 'Data Analysis', 'Forecasting', 'Microsoft Excel']",7,0.63
31,Management Consultant (Graduate),HMRC,Public Sector,London,26000.0,30000.0,1-2 years,Any degree subject,Agile;Azure;Business Intelligence;ChatGPT/AI Tools;Communication;DAX;Data Analysis;JIRA;KPI Reporting,Hybrid,Yes,2024-05-01,300,Graduate,28000.0,True,1,1,"['Agile', 'Azure', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'DAX', 'Data Analysis', 'JIRA', 'KPI Reporting']",9,-1.52
32,Business Intelligence Analyst,NatWest,Finance,London,32000.0,36000.0,1-2 years,Finance,Agile;Azure;Business Intelligence;Communication;Financial Modelling;KPI Reporting;Microsoft Excel;Microsoft Office,Hybrid,No,2025-11-01,259,Entry Level,34000.0,True,1,1,"['Agile', 'Azure', 'Business Intelligence', 'Communication', 'Financial Modelling', 'KPI Reporting', 'Microsoft Excel', 'Microsoft Office']",8,-0.16
33,Insight Analyst,TechAnalytics Ltd,Technology,Cardiff,42000.0,46000.0,1 year,Finance,Communication;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-08-01,348,Entry Level,44000.0,True,1,0,"['Communication', 'Data Analysis', 'JIRA', 'KPI Reporting', 'Microsoft Excel']",5,2.1
34,Business Intelligence Analyst,StartupXYZ,Technology,London,41000.0,46000.0,1 year,Engineering,AWS;Azure;Business Intelligence;ChatGPT/AI Tools;Communication,Flexible,No,2026-06-01,536,Entry Level,43500.0,True,1,1,"['AWS', 'Azure', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication']",5,1.99
37,Operations Analyst,HMRC,Public Sector,London,29000.0,35000.0,,Engineering,Agile;Azure;Business Intelligence;Communication,Hybrid,No,2024-06-01,129,Entry Level,32000.0,True,0,1,"['Agile', 'Azure', 'Business Intelligence', 'Communication']",4,-0.61
38,Operations Analyst,Accenture,Consulting,London,37000.0,43000.0,<1 year,2:1 or above any subject,AWS;Communication;Data Analysis;Financial Modelling;Forecasting,Hybrid,No,2025-05-01,687,Entry Level,40000.0,True,0,1,"['AWS', 'Communication', 'Data Analysis', 'Financial Modelling', 'Forecasting']",5,1.2
39,Reporting Analyst,Sky,Technology,London,36000.0,42000.0,1-2 years,STEM degree preferred,Business Intelligence;Communication;Data Analysis;Forecasting,Hybrid,No,2025-09-01,465,Entry Level,39000.0,True,1,1,"['Business Intelligence', 'Communication', 'Data Analysis', 'Forecasting']",4,0.97
40,Junior Data Analyst,BT Group,Technology,London,37000.0,44000.0,1-2 years,Statistics,Communication;Confluence;Data Analysis;Financial Modelling;Forecasting,Flexible,No,2024-10-01,838,Graduate,40500.0,True,1,1,"['Communication', 'Confluence', 'Data Analysis', 'Financial Modelling', 'Forecasting']",5,1.31
41,Financial Analyst,JPMorgan UK,Finance,London,38000.0,45000.0,2+ years,Business & Management,Azure;Business Intelligence;ChatGPT/AI Tools;DAX;Data Analysis;Financial Modelling,Hybrid,No,2026-03-01,371,Entry Level,41500.0,True,1,1,"['Azure', 'Business Intelligence', 'ChatGPT/AI Tools', 'DAX', 'Data Analysis', 'Financial Modelling']",6,1.54
42,Reporting Analyst,Centrica,Energy,London,28000.0,35000.0,1-2 years,Statistics,AWS;Agile;ChatGPT/AI Tools;Communication;DAX;Data Analysis;Financial Modelling,Office,No,2026-03-01,709,Entry Level,31500.0,True,1,1,"['AWS', 'Agile', 'ChatGPT/AI Tools', 'Communication', 'DAX', 'Data Analysis', 'Financial Modelling']",7,-0.73
43,Financial Analyst,Infosys,Consulting,London,34000.0,38000.0,1-2 years,Business & Management,Agile;Communication;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Microsoft Office;Pivot Tables;PowerPoint,Hybrid,No,2025-10-01,154,Entry Level,36000.0,True,1,1,"['Agile', 'Communication', 'Data Analysis', 'KPI Reporting', 'Machine Learning', 'Microsoft Excel', 'Microsoft Office', 'Pivot Tables', 'PowerPoint']",9,0.29
44,Business Intelligence Analyst,KPMG,Consulting,London,28000.0,35000.0,<1 year,Mathematics,Agile;Business Intelligence;Communication;Data Analysis;Financial Modelling;Forecasting,Flexible,No,2024-11-01,509,Entry Level,31500.0,True,0,1,"['Agile', 'Business Intelligence', 'Communication', 'Data Analysis', 'Financial Modelling', 'Forecasting']",6,-0.73
45,Business Analyst,Morgan Stanley UK,Finance,London,29000.0,32000.0,<1 year,Engineering,AWS;Agile;Communication;DAX;Data Analysis;Forecasting;JIRA;Microsoft Excel,Hybrid,No,2024-09-01,564,Entry Level,30500.0,True,0,1,"['AWS', 'Agile', 'Communication', 'DAX', 'Data Analysis', 'Forecasting', 'JIRA', 'Microsoft Excel']",8,-0.95
46,Financial Analyst,Tesco,Retail,London,24000.0,30000.0,1 year,Statistics,Agile;Azure;Business Intelligence;ChatGPT/AI Tools;Communication,Hybrid,No,2025-05-01,448,Entry Level,27000.0,True,1,1,"['Agile', 'Azure', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication']",5,-1.75
47,Reporting Analyst,Legal & General,Finance,London,39000.0,45000.0,2+ years,Business & Management,Business Intelligence;Communication;Confluence;Data Analysis,Office,No,2026-02-01,149,Entry Level,42000.0,True,1,1,"['Business Intelligence', 'Communication', 'Confluence', 'Data Analysis']",4,1.65
49,Reporting Analyst,EY,Consulting,London,37000.0,42000.0,,Engineering,Agile;Communication;DAX;Data Analysis;Financial Modelling;KPI Reporting,Hybrid,Yes,2025-10-01,689,Entry Level,39500.0,True,0,1,"['Agile', 'Communication', 'DAX', 'Data Analysis', 'Financial Modelling', 'KPI Reporting']",6,1.08
50,Junior Operations Analyst,Astrazeneca,Pharma,London,29000.0,35000.0,1-2 years,STEM degree preferred,Agile;Azure;Business Intelligence;Communication,Remote,No,2025-03-01,781,Graduate,32000.0,True,1,1,"['Agile', 'Azure', 'Business Intelligence', 'Communication']",4,-0.61
51,Junior Data Analyst,BAE Systems,Pharma,London,29000.0,34000.0,<1 year,Engineering,Business Intelligence;Communication;DAX;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-09-01,264,Graduate,31500.0,True,0,1,"['Business Intelligence', 'Communication', 'DAX', 'Data Analysis', 'JIRA', 'KPI Reporting', 'Microsoft Excel']",7,-0.73
52,Business Analyst,Metro Bank,Finance,London,35000.0,39000.0,2+ years,Engineering,Agile;Business Intelligence;Communication;Data Analysis;Financial Modelling;JIRA,Hybrid,No,2024-12-01,611,Entry Level,37000.0,True,1,1,"['Agile', 'Business Intelligence', 'Communication', 'Data Analysis', 'Financial Modelling', 'JIRA']",6,0.52
53,Financial Analyst,Fidelity,Finance,London,34000.0,40000.0,<1 year,Engineering,Agile;Business Intelligence;Confluence;Data Analysis;Financial Modelling,Hybrid,No,2026-04-01,686,Entry Level,37000.0,True,0,1,"['Agile', 'Business Intelligence', 'Confluence', 'Data Analysis', 'Financial Modelling']",5,0.52
54,Management Consultant (Graduate),BP,Energy,London,29000.0,33000.0,1-2 years,Computer Science,AWS;Business Intelligence;Communication;Data Analysis;Financial Modelling;JIRA;KPI Reporting;Microsoft Excel,Office,No,2024-06-01,541,Graduate,31000.0,True,1,1,"['AWS', 'Business Intelligence', 'Communication', 'Data Analysis', 'Financial Modelling', 'JIRA', 'KPI Reporting', 'Microsoft Excel']",8,-0.84
56,Commercial Analyst,Tesco,Retail,Bristol,27000.0,32000.0,1 year,Economics,AWS;Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis;Financial Modelling,Hybrid,No,2025-06-01,272,Entry Level,29500.0,True,1,0,"['AWS', 'Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Data Analysis', 'Financial Modelling']",7,-1.18
57,Junior Operations Analyst,Aviva,Finance,London,39000.0,42000.0,,Computer Science,AWS;Agile;Azure;Communication;Data Analysis;Financial Modelling,Hybrid,No,2025-04-01,519,Graduate,40500.0,True,0,1,"['AWS', 'Agile', 'Azure', 'Communication', 'Data Analysis', 'Financial Modelling']",6,1.31
58,Graduate Business Analyst,Standard Chartered,Finance,London,28000.0,32000.0,1-2 years,Engineering,Agile;Business Intelligence;Confluence;Copilot,Hybrid,No,2026-02-01,363,Graduate,30000.0,True,1,1,"['Agile', 'Business Intelligence', 'Confluence', 'Copilot']",4,-1.07
59,Graduate Business Analyst,Standard Chartered,Finance,London,37000.0,44000.0,1 year,STEM degree preferred,Agile;Azure;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;Data Analysis,Office,No,2025-11-01,629,Graduate,40500.0,True,1,1,"['Agile', 'Azure', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Confluence', 'Data Analysis']",7,1.31
60,Graduate Data Analyst,Schroders,Finance,London,32000.0,35000.0,1 year,Engineering,Business Intelligence;ChatGPT/AI Tools;Communication;Confluence,Hybrid,Yes,2025-10-01,722,Graduate,33500.0,True,1,1,"['Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Confluence']",4,-0.27
61,Reporting Analyst,McKinsey,Consulting,London,32000.0,35000.0,2+ years,Statistics,Agile;Business Intelligence;Communication;Copilot;Data Analysis;KPI Reporting;Microsoft Excel,Hybrid,No,2024-04-01,378,Entry Level,33500.0,True,1,1,"['Agile', 'Business Intelligence', 'Communication', 'Copilot', 'Data Analysis', 'KPI Reporting', 'Microsoft Excel']",7,-0.27
62,Operations Analyst,BlackRock UK,Finance,Manchester,31000.0,37000.0,<1 year,Engineering,Agile;Business Intelligence;Communication;Confluence;Data Analysis;Forecasting;KPI Reporting;Power Query,Hybrid,No,2025-03-01,161,Entry Level,34000.0,True,0,0,"['Agile', 'Business Intelligence', 'Communication', 'Confluence', 'Data Analysis', 'Forecasting', 'KPI Reporting', 'Power Query']",8,-0.16
63,Graduate Financial Analyst,HMRC,Public Sector,London,29000.0,35000.0,1 year,STEM degree preferred,AWS;Azure;Business Intelligence;Communication;Data Analysis;KPI Reporting;Microsoft Excel,Hybrid,No,2026-02-01,204,Graduate,32000.0,True,1,1,"['AWS', 'Azure', 'Business Intelligence', 'Communication', 'Data Analysis', 'KPI Reporting', 'Microsoft Excel']",7,-0.61
65,Business Analyst,Lloyds Banking Group,Finance,Liverpool,39000.0,44000.0,,Finance,Azure;Communication;Confluence;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Pivot Tables,Flexible,No,2025-04-01,292,Entry Level,41500.0,True,0,0,"['Azure', 'Communication', 'Confluence', 'Data Analysis', 'KPI Reporting', 'Machine Learning', 'Microsoft Excel', 'Pivot Tables']",8,1.54
70,Business Intelligence Analyst,Metro Bank,Finance,London,38000.0,42000.0,1 year,Engineering,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;DAX;Data Analysis;KPI Reporting;Machine Learning;Pivot Tables,Remote,No,2024-12-01,566,Entry Level,40000.0,True,1,1,"['Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'DAX', 'Data Analysis', 'KPI Reporting', 'Machine Learning', 'Pivot Tables']",9,1.2
71,Strategy Analyst,NHS,Public Sector,London,29000.0,34000.0,<1 year,Any degree subject,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis,Hybrid,No,2024-01-01,327,Entry Level,31500.0,True,0,1,"['Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Data Analysis']",5,-0.73
72,Reporting Analyst,Rolls-Royce,Energy,London,28000.0,34000.0,1 year,2:1 or above any subject,Communication;DAX;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Pivot Tables;Power Query;PowerPoint,Hybrid,No,2025-11-01,463,Entry Level,31000.0,True,1,1,"['Communication', 'DAX', 'Data Analysis', 'KPI Reporting', 'Machine Learning', 'Microsoft Excel', 'Pivot Tables', 'Power Query', 'PowerPoint']",9,-0.84
74,Junior Data Analyst,ConsultCo,Consulting,London,32000.0,35000.0,<1 year,Computer Science,Communication;Copilot;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Office;Pivot Tables,Office,No,2026-01-01,212,Graduate,33500.0,True,0,1,"['Communication', 'Copilot', 'Data Analysis', 'Financial Modelling', 'KPI Reporting', 'Microsoft Office', 'Pivot Tables']",7,-0.27
75,Business Intelligence Analyst,Morgan Stanley UK,Finance,London,34000.0,40000.0,2+ years,Mathematics,Azure;Communication;Confluence;DAX;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2024-06-01,808,Entry Level,37000.0,True,1,1,"['Azure', 'Communication', 'Confluence', 'DAX', 'Data Analysis', 'Financial Modelling', 'KPI Reporting', 'Microsoft Excel', 'Microsoft Office']",9,0.52
76,Junior Business Analyst,Standard Chartered,Finance,London,38000.0,43000.0,1 year,Mathematics,Communication;Copilot;Data Analysis;JIRA;KPI Reporting;Machine Learning;Microsoft Excel;Microsoft Office,Office,No,2024-01-01,767,Graduate,40500.0,True,1,1,"['Communication', 'Copilot', 'Data Analysis', 'JIRA', 'KPI Reporting', 'Machine Learning', 'Microsoft Excel', 'Microsoft Office']",8,1.31
78,Reporting Analyst,GSK,Pharma,Edinburgh,32000.0,36000.0,1 year,Any degree subject,AWS;Agile;Communication;Confluence;Copilot,Remote,No,2024-08-01,204,Entry Level,34000.0,True,1,0,"['AWS', 'Agile', 'Communication', 'Confluence', 'Copilot']",5,-0.16
79,Junior Operations Analyst,Tesco,Retail,Glasgow,23000.0,30000.0,<1 year,Finance,Agile;Business Intelligence;Communication;Copilot;Data Analysis;JIRA;KPI Reporting;Machine Learning;Microsoft Excel,Hybrid,No,2026-05-01,307,Graduate,26500.0,True,0,0,"['Agile', 'Business Intelligence', 'Communication', 'Copilot', 'Data Analysis', 'JIRA', 'KPI Reporting', 'Machine Learning', 'Microsoft Excel']",9,-1.86
81,Graduate Financial Analyst,Tesco,Retail,London,25000.0,30000.0,1 year,Business & Management,Agile;Communication;Confluence;Data Analysis,Office,No,2026-02-01,373,Graduate,27500.0,True,1,1,"['Agile', 'Communication', 'Confluence', 'Data Analysis']",4,-1.63
83,Management Consultant (Graduate),HSBC,Finance,London,32000.0,39000.0,,Finance,Agile;Data Analysis;Financial Modelling;JIRA;KPI Reporting;Power BI;Power Query;PowerPoint;Problem Solving,Hybrid,No,2025-10-01,329,Graduate,35500.0,True,0,1,"['Agile', 'Data Analysis', 'Financial Modelling', 'JIRA', 'KPI Reporting', 'Power BI', 'Power Query', 'PowerPoint', 'Problem Solving']",9,0.18
84,Junior Operations Analyst,KPMG,Consulting,London,28000.0,34000.0,1-2 years,STEM degree preferred,Azure;Communication;Copilot;Data Analysis;Financial Modelling,Hybrid,No,2026-04-01,477,Graduate,31000.0,True,1,1,"['Azure', 'Communication', 'Copilot', 'Data Analysis', 'Financial Modelling']",5,-0.84
85,Management Consultant (Graduate),Shell,Energy,London,26000.0,32000.0,1-2 years,Engineering,Communication;Copilot;Data Analysis;JIRA,Hybrid,No,2025-12-01,839,Graduate,29000.0,True,1,1,"['Communication', 'Copilot', 'Data Analysis', 'JIRA']",4,-1.29
87,Insight Analyst,Centrica,Energy,London,30000.0,36000.0,1-2 years,STEM degree preferred,Agile;Communication;Confluence;Data Analysis;Forecasting;Microsoft Excel;Pivot Tables;Power Query,Hybrid,No,2025-10-01,755,Entry Level,33000.0,True,1,1,"['Agile', 'Communication', 'Confluence', 'Data Analysis', 'Forecasting', 'Microsoft Excel', 'Pivot Tables', 'Power Query']",8,-0.39
88,Reporting Analyst,NatWest,Finance,London,28000.0,32000.0,<1 year,Economics,Agile;Communication;DAX;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-03-01,450,Entry Level,30000.0,True,0,1,"['Agile', 'Communication', 'DAX', 'Data Analysis', 'JIRA', 'KPI Reporting', 'Microsoft Excel']",7,-1.07
89,Data Analyst,Goldman Sachs UK,Finance,London,34000.0,39000.0,<1 year,Finance,Communication;Confluence;DAX;Data Analysis;Forecasting;Microsoft Excel,Flexible,No,2024-07-01,474,Entry Level,36500.0,True,0,1,"['Communication', 'Confluence', 'DAX', 'Data Analysis', 'Forecasting', 'Microsoft Excel']",6,0.4
90,Data Analyst,Lloyds,Finance,London,36000.0,43000.0,2+ years,Engineering,Communication;Confluence;Copilot;Data Analysis;Microsoft Excel;Microsoft Office;Pivot Tables;Power BI,Hybrid,Yes,2025-01-01,671,Entry Level,39500.0,True,1,1,"['Communication', 'Confluence', 'Copilot', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Pivot Tables', 'Power BI']",8,1.08
91,Data Analyst,M&G Investments,Finance,London,34000.0,38000.0,1 year,Business & Management,Azure;Business Intelligence;Communication;Data Analysis;Financial Modelling,Office,No,2025-10-01,525,Entry Level,36000.0,True,1,1,"['Azure', 'Business Intelligence', 'Communication', 'Data Analysis', 'Financial Modelling']",5,0.29
92,Graduate Business Analyst,EY,Consulting,London,32000.0,35000.0,1-2 years,2:1 or above any subject,Agile;Business Intelligence;Communication;KPI Reporting;Microsoft Office;Pivot Tables;Power BI;Power Query;PowerPoint,Hybrid,No,2024-10-01,279,Graduate,33500.0,True,1,1,"['Agile', 'Business Intelligence', 'Communication', 'KPI Reporting', 'Microsoft Office', 'Pivot Tables', 'Power BI', 'Power Query', 'PowerPoint']",9,-0.27
93,Management Consultant (Graduate),Centrica,Energy,London,30000.0,34000.0,,Computer Science,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;KPI Reporting;Microsoft Excel,Hybrid,No,2026-03-01,267,Graduate,32000.0,True,0,1,"['Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'KPI Reporting', 'Microsoft Excel']",6,-0.61
94,Commercial Analyst,AnalyticsFirm,Technology,London,33000.0,37000.0,1 year,Economics,Agile;Business Intelligence;Communication;Data Analysis;Forecasting,Office,No,2025-01-01,770,Entry Level,35000.0,True,1,1,"['Agile', 'Business Intelligence', 'Communication', 'Data Analysis', 'Forecasting']",5,0.06
95,Management Consultant (Graduate),Capgemini,Consulting,London,32000.0,37000.0,2+ years,Business & Management,Agile;Azure;Communication;Confluence;Data Analysis;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2024-05-01,567,Graduate,34500.0,True,1,1,"['Agile', 'Azure', 'Communication', 'Confluence', 'Data Analysis', 'JIRA', 'KPI Reporting', 'Microsoft Excel']",8,-0.05
